Rank,University,Program_Strengths,Student_Success_Metrics
1,Princeton University,"Economics, Mathematics, Public Policy, Physics, Computer Science","98,96,75600"
2,MIT,"Computer Science, Engineering, Physics, Mathematics, Robotics","97,96,82300"
3,Harvard University,"Business, Law, Computer Science, Economics, Biology","98,95,74800"
4,Stanford University,"Computer Science, Engineering, Business, Environmental Science, Psychology","96,95,76500"
5,Yale University,"Economics, Political Science, Law, History, Molecular Biology","97,95,72400"
6,Caltech,"Physics, Engineering, Chemistry, Mathematics, Astronomy","94,93,84200"
7,University of Pennsylvania,"Business, Engineering, Nursing, Economics, Computer Science","96,94,73800"
8,Princeton Review,"Data Science, Mathematics, Statistics, Computer Science, Economics","95,93,71200"
9,Columbia University,"Engineering, Economics, Political Science, Computer Science, Medicine","96,93,74100"
10,Duke University,"Medicine, Public Policy, Engineering, Environmental Science, Business","95,94,71900"
11,Johns Hopkins University,"Medicine, Public Health, Engineering, Biomedical Science, International Studies","94,92,70500"
12,Northwestern University,"Journalism, Business, Engineering, Psychology, Performing Arts","95,93,69800"
13,Dartmouth College,"Economics, Engineering, Environmental Studies, Computer Science, Medicine","95,93,71200"
14,Brown University,"Applied Mathematics, Biology, Computer Science, International Relations, Neuroscience","96,92,70100"
15,University of Notre Dame,"Business, Engineering, Architecture, Economics, Political Science","96,93,69800"
16,Vanderbilt University,"Education, Engineering, Medicine, Economics, Psychology","94,92,69500"
17,Cornell University,"Engineering, Agriculture, Computer Science, Business, Architecture","95,93,72400"
18,Rice University,"Engineering, Architecture, Computer Science, Biosciences, Mathematics","93,91,70200"
19,Washington University in St. Louis,"Medicine, Architecture, Engineering, Business, Social Work","94,92,68900"
20,University of California Berkeley,"Computer Science, Engineering, Business, Environmental Science, Physics","93,91,71500"
21,University of Chicago,"Economics, Mathematics, Physics, Political Science, Business","94,92,71800"
22,Carnegie Mellon University,"Computer Science, Engineering, Business, Fine Arts, Robotics","92,94,78600"
23,Georgetown University,"International Relations, Political Science, Business, Law, Economics","95,92,70100"
24,University of Michigan Ann Arbor,"Engineering, Business, Computer Science, Psychology, Public Policy","93,91,69500"
25,University of Virginia,"Business, Law, Engineering, Public Policy, Computer Science","94,91,68900"
26,Georgia Institute of Technology,"Engineering, Computing, Business, Architecture, Aerospace","91,93,77800"
27,UNC Chapel Hill,"Business, Journalism, Public Health, Computer Science, Biology","91,89,65400"
28,NYU,"Business, Film, Performing Arts, Computer Science, Economics","89,88,67400"
29,Tufts University,"International Relations, Medicine, Engineering, Computer Science, Environmental Studies","90,88,63900"
30,University of California Los Angeles,"Film, Engineering, Business, Psychology, Computer Science","92,90,68900"
31,University of Florida,"Engineering, Business, Computer Science, Medicine, Biology","89,87,63800"
32,University of Texas at Austin,"Engineering, Business, Computer Science, Film, Energy","87,85,64800"
33,University of Wisconsin Madison,"Engineering, Business, Computer Science, Environmental Studies, Medicine","88,86,63900"
34,Boston College,"Business, Economics, Psychology, Biology, Political Science","89,87,64100"
35,University of Illinois Urbana-Champaign,"Engineering, Computer Science, Business, Agriculture, Physics","88,87,69200"
36,University of Washington,"Computer Science, Medicine, Engineering, Business, Environmental Science","87,85,64200"
37,University of Rochester,"Music, Engineering, Business, Medicine, Computer Science","89,87,64500"
38,Boston University,"Business, Communication, Engineering, Computer Science, Psychology","88,86,65300"
39,Case Western Reserve University,"Engineering, Medicine, Nursing, Computer Science, Biology","88,86,64700"
40,Northeastern University,"Computer Science, Engineering, Business, Data Science, Health Sciences","89,87,65100"
41,Rensselaer Polytechnic Institute,"Engineering, Computer Science, Business, Architecture, Game Design","87,85,69800"
42,Tulane University,"Business, Architecture, Public Health, Law, Environmental Science","88,86,61800"
43,University of California Santa Barbara,"Environmental Science, Physics, Computer Science, Psychology, Engineering","90,88,64200"
44,University of California San Diego,"Biology, Engineering, Computer Science, Cognitive Science, Physics","89,88,65600"
45,University of Maryland College Park,"Engineering, Computer Science, Business, Journalism, Physics","86,84,63500"
46,University of Miami,"Marine Science, Business, Communication, Medicine, Engineering","87,85,61500"
47,Villanova University,"Business, Engineering, Nursing, Computer Science, Law","88,86,62400"
48,Lehigh University,"Engineering, Business, Computer Science, Materials Science, Economics","86,84,63700"
49,Pennsylvania State University,"Engineering, Business, Agriculture, Computer Science, Earth Sciences","85,83,62400"
50,Pepperdine University,"Business, Law, Psychology, Communication, International Studies","86,84,61000"
51,Purdue University,"Engineering, Agriculture, Computer Science, Aviation, Technology","85,83,62800"
52,Syracuse University,"Communication, Architecture, Information Studies, Engineering, Business","85,83,60800"
53,Texas A&M University,"Engineering, Agriculture, Business, Veterinary Medicine, Architecture","84,82,61500"
54,University of Connecticut,"Engineering, Business, Healthcare, Agriculture, Marine Sciences","84,82,60900"
55,Fordham University,"Business, International Studies, Psychology, Communication, Economics","85,83,60500"
56,George Washington University,"International Affairs, Political Science, Business, Engineering, Public Health","86,84,61200"
57,Southern Methodist University,"Business, Engineering, Arts, Economics, Computer Science","85,83,61800"
58,University of Georgia,"Business, Journalism, Agriculture, Ecology, Computer Science","87,85,60900"
59,University of Pittsburgh,"Medicine, Engineering, Business, Computer Science, Psychology","84,82,60500"
60,Virginia Tech,"Engineering, Architecture, Business, Computer Science, Agriculture","85,83,61800"
61,American University,"International Relations, Political Science, Communication, Business, Data Science","84,82,59800"
62,Clemson University,"Engineering, Business, Architecture, Computer Science, Agriculture","84,82,60200"
63,Florida State University,"Film, Business, Computer Science, Engineering, Psychology","77,75,54500"
64,Miami University Oxford,"Business, Education, Engineering, Computer Science, Psychology","82,80,58200"
65,Ohio State University,"Engineering, Business, Agriculture, Computer Science, Medicine","83,81,59500"
66,Rutgers University,"Engineering, Business, Computer Science, Criminal Justice, Psychology","82,80,58800"
67,University of Connecticut Storrs,"Engineering, Business, Healthcare, Computer Science, Marine Sciences","83,81,59800"
68,University of Massachusetts Amherst,"Computer Science, Engineering, Business, Agriculture, Psychology","83,81,59200"
69,University of Minnesota Twin Cities,"Engineering, Business, Computer Science, Medicine, Environmental Science","83,81,59200"
70,Baylor University,"Business, Health Sciences, Engineering, Computer Science, Music","82,80,58500"
71,Michigan State University,"Business, Engineering, Education, Computer Science, Agriculture","83,81,59500"
72,University of Delaware,"Engineering, Business, Marine Science, Computer Science, Chemistry","83,81,59800"
73,University of Iowa,"Medicine, Engineering, Business, Writing, Computer Science","81,79,57500"
74,University of South Carolina,"Business, Engineering, Hospitality, Computer Science, Public Health","81,79,57200"
75,Colorado State University,"Environmental Science, Engineering, Business, Veterinary Medicine, Computer Science","80,78,56800"
76,Indiana University Bloomington,"Business, Music, Computer Science, Education, Psychology","82,80,58800"
77,Iowa State University,"Engineering, Agriculture, Design, Computer Science, Business","81,79,57800"
78,North Carolina State University,"Engineering, Computer Science, Agriculture, Design, Statistics","82,80,59200"
79,University of California Davis,"Agriculture, Veterinary Science, Engineering, Computer Science, Biology","88,86,62800"
80,University of Colorado Boulder,"Engineering, Business, Physics, Environmental Science, Computer Science","78,76,55800"
81,Stevens Institute of Technology,"Engineering, Computer Science, Business, Cybersecurity, Data Science","85,83,71200"
