Rank,University,GPA_Range,SAT_Range,ACT_Range,Early_Decision,Early_Action,Application_Fee,Acceptance_Rate,Average_Aid,Need_Blind,Merit_Aid,Special_Programs,Notable_Strengths
1,Princeton University,3.90-4.00,1450-1570,33-35,Yes,No,75,0.040,57000,Yes,No,Bridge Year;Research Scholars,Leadership;Research
2,MIT,3.95-4.00,1510-1580,34-36,No,Yes,75,0.070,53000,Yes,No,UROP;MITES,STEM;Research
3,Harvard University,3.90-4.00,1460-1580,33-36,Yes,Yes,75,0.040,55000,Yes,No,SHARP;Research Programs,Leadership;Research
4,Stanford University,3.95-4.00,1440-1570,32-35,Yes,No,90,0.040,54000,Yes,Limited,Stanford Institutes,Innovation;Research
5,Yale University,3.90-4.00,1460-1570,33-35,Yes,Yes,80,0.050,56000,Yes,No,Directed Studies,Humanities;Arts
6,University of Pennsylvania,3.85-4.00,1450-1560,33-35,Yes,No,75,0.070,54000,Yes,Limited,Wharton;Nursing,Business;Research
7,California Institute of Technology,3.90-4.00,1530-1580,35-36,Yes,No,75,0.060,52000,Yes,No,SURF Program,STEM;Research
8,Duke University,3.85-4.00,1440-1570,33-35,Yes,No,85,0.060,53000,Yes,Limited,Focus Program,Research;Medicine
9,Brown University,3.90-4.00,1440-1560,33-35,Yes,No,75,0.060,52000,Yes,No,Open Curriculum,Liberal Arts;Research
10,Northwestern University,3.85-4.00,1430-1550,33-35,Yes,No,75,0.070,51000,Yes,Limited,Co-op Programs,Journalism;Arts
11,Johns Hopkins University,3.90-4.00,1470-1560,33-35,Yes,No,70,0.090,50000,Yes,Limited,Research Programs,Medicine;Research
12,Columbia University,3.85-4.00,1450-1560,33-35,Yes,No,85,0.050,55000,Yes,No,Core Curriculum,Liberal Arts;Research
13,University of Chicago,3.85-4.00,1470-1570,33-35,Yes,No,75,0.060,54000,Yes,Limited,Uncommon Core,Economics;Research
14,UC Berkeley,3.89-4.00,1330-1530,29-34,No,No,70,0.150,45000,No,No,Research Programs,STEM;Research
15,UCLA,3.85-4.00,1300-1530,29-34,No,No,70,0.110,43000,No,No,Honors Program,Arts;Research
16,Carnegie Mellon University,3.85-4.00,1460-1560,33-35,Yes,No,75,0.150,49000,Yes,Limited,SCS Programs,Computer Science;Arts
17,Vanderbilt University,3.80-4.00,1470-1570,33-35,Yes,No,85,0.070,52000,Yes,Limited,Opportunity Vanderbilt,Research;Medicine
18,Rice University,3.85-4.00,1460-1560,33-35,Yes,No,75,0.090,47000,Yes,Limited,Residential Colleges,Engineering;Research
19,Washington University in St. Louis,3.85-4.00,1470-1570,33-35,Yes,No,75,0.130,51000,Yes,Limited,WashU Pledge,Medicine;Research
20,Cornell University,3.80-4.00,1400-1540,32-34,Yes,No,80,0.110,50000,Yes,Limited,College Specific,Engineering;Agriculture
21,University of Michigan,3.75-4.00,1340-1520,31-34,No,Yes,75,0.200,43000,No,Yes,Ross School Programs,Business;Engineering
22,USC,3.75-4.00,1360-1530,31-34,Yes,No,85,0.110,45000,No,Yes,Cinema School,Film;Business
23,Georgetown University,3.80-4.00,1380-1530,32-34,Yes,No,75,0.140,48000,Yes,Limited,SFS Program,International Relations
24,University of Virginia,3.75-4.00,1340-1500,31-34,Yes,No,70,0.210,42000,Yes,Yes,Jefferson Scholars,Liberal Arts
25,UC San Diego,3.80-4.00,1280-1480,28-34,No,No,70,0.300,40000,No,No,College System,STEM;Research
26,UC Davis,3.75-4.00,1270-1470,28-34,No,No,70,0.350,38000,No,No,Agricultural Programs,Agriculture;Research
27,University of Florida,3.75-4.00,1330-1470,30-34,No,Yes,30,0.310,35000,No,Yes,Honors Program,Research;Sports
28,Wake Forest University,3.75-4.00,1320-1470,30-33,Yes,No,85,0.250,44000,No,Yes,Test-Optional Pioneer,Liberal Arts
29,UNC Chapel Hill,3.75-4.00,1320-1490,29-33,Yes,No,85,0.200,39000,No,Yes,Morehead-Cain,Research;Public Health
30,Tufts University,3.80-4.00,1420-1540,32-34,Yes,No,75,0.110,48000,Yes,Limited,SMFA Combined,International Relations
31,NYU,3.70-4.00,1370-1510,31-34,Yes,No,80,0.130,47000,No,Limited,Global Programs,Arts;Business
32,UC Santa Barbara,3.75-4.00,1270-1460,27-33,No,No,70,0.300,38000,No,No,CCS Program,Research;Environmental
33,University of Rochester,3.70-4.00,1330-1500,30-34,Yes,No,50,0.300,45000,Yes,Yes,Rochester Curriculum,Music;Engineering
34,Boston College,3.75-4.00,1380-1490,32-34,Yes,No,80,0.270,44000,No,Limited,PULSE Program,Liberal Arts
35,University of Wisconsin-Madison,3.70-4.00,1300-1480,28-32,No,Yes,60,0.540,35000,No,Yes,FIG Program,Research;Business
36,UIUC,3.70-4.00,1320-1500,29-34,No,Yes,75,0.590,36000,No,Yes,Engineering Programs,Engineering;Computer Science
37,Georgia Tech,3.75-4.00,1370-1530,31-35,Yes,No,75,0.210,38000,No,Yes,Co-op Program,Engineering;Computing
38,Boston University,3.70-4.00,1340-1480,30-34,Yes,No,80,0.190,45000,No,Limited,Kilachand Honors,Research;Business
39,Brandeis University,3.70-4.00,1350-1500,31-34,Yes,No,80,0.300,46000,No,Yes,Justice Programs,Social Justice;Research
40,Case Western Reserve,3.75-4.00,1350-1520,31-34,Yes,Yes,70,0.270,44000,No,Yes,Research Programs,Engineering;Medicine
41,William & Mary,3.70-4.00,1320-1490,30-34,Yes,No,75,0.370,34000,No,Yes,Joint Degree,Liberal Arts;Government
42,Northeastern University,3.70-4.00,1390-1540,32-35,Yes,No,75,0.180,43000,No,Limited,Co-op Program,Experiential Learning
43,Tulane University,3.65-4.00,1340-1500,30-33,Yes,No,75,0.100,45000,No,Yes,Public Service,Business;Medicine
44,University of Georgia,3.70-4.00,1280-1460,29-33,No,Yes,70,0.450,33000,No,Yes,Honors Program,Journalism;Business
45,University of Illinois-Chicago,3.60-4.00,1130-1350,23-29,No,Yes,60,0.730,32000,No,Yes,Guaranteed Professional,Medicine;Engineering
46,UT Austin,3.70-4.00,1230-1480,27-33,No,No,75,0.320,36000,No,Yes,Plan II Honors,Engineering;Business
47,University of Washington,3.70-4.00,1240-1440,27-33,No,No,80,0.560,34000,No,Yes,Direct Admission,Computer Science;Medicine
48,Lehigh University,3.70-4.00,1280-1450,29-33,Yes,No,70,0.320,45000,No,Yes,IBE Program,Engineering;Business
49,Pepperdine University,3.65-4.00,1230-1450,27-32,Yes,No,65,0.420,42000,No,Yes,International Programs,Business;Law
50,Villanova University,3.70-4.00,1320-1470,30-33,Yes,No,80,0.310,43000,No,Yes,Presidential Scholars,Business;Engineering
51,Rensselaer Polytechnic Institute,3.65-4.00,1300-1490,29-33,Yes,No,75,0.470,41000,No,Yes,Arch Program,Engineering;Technology
52,University of Miami,3.60-4.00,1270-1440,29-32,Yes,No,70,0.270,42000,No,Yes,Marine Science,Medicine;Marine Science
53,Ohio State University,3.60-4.00,1260-1450,28-32,No,Yes,60,0.540,32000,No,Yes,Scholars Program,Research;Athletics
54,Penn State University,3.55-4.00,1200-1400,26-31,No,Yes,65,0.560,34000,No,Yes,2+2 Program,Engineering;Business
55,Purdue University,3.65-4.00,1190-1440,26-32,No,Yes,60,0.600,33000,No,Yes,Co-op Programs,Engineering;Agriculture
56,Rutgers University,3.60-4.00,1210-1430,25-31,No,Yes,70,0.610,31000,No,Yes,Honors College,Research;Business
57,Syracuse University,3.60-4.00,1180-1380,26-30,Yes,No,75,0.440,40000,No,Yes,Maxwell School,Communications;Architecture
58,University of Pittsburgh,3.65-4.00,1260-1440,28-32,No,Yes,55,0.570,33000,No,Yes,Guaranteed Health,Medicine;Engineering
59,University of Maryland,3.65-4.00,1280-1470,29-33,Yes,No,75,0.440,34000,No,Yes,Banneker/Key,Engineering;Computer Science
60,Worcester Polytechnic Institute,3.70-4.00,1290-1460,29-33,Yes,No,70,0.490,42000,No,Yes,Project-Based,Engineering;Technology
61,George Washington University,3.60-4.00,1280-1470,29-33,Yes,No,80,0.410,41000,No,Yes,Politics & Values,International Affairs
62,Southern Methodist University,3.60-4.00,1250-1450,28-32,Yes,No,60,0.470,40000,No,Yes,Hunt Leadership,Business;Arts
63,University of Connecticut,3.60-4.00,1190-1390,27-32,No,Yes,80,0.490,33000,No,Yes,Honors Program,Business;Engineering
64,University of Massachusetts-Amherst,3.60-4.00,1200-1390,27-32,No,Yes,85,0.640,32000,No,Yes,Commonwealth Honors,Engineering;Computer Science
65,Clemson University,3.65-4.00,1240-1400,27-32,Yes,No,70,0.510,31000,No,Yes,Calhoun Honors,Engineering;Business
66,Fordham University,3.60-4.00,1230-1410,28-32,Yes,No,70,0.460,39000,No,Yes,Gabelli Business,Business;Liberal Arts
