Rank,University,GPA_Range,SAT_Range,ACT_Range,Early_Decision,Early_Action,Application_Fee,Acceptance_Rate,Average_Aid,Need_Blind,Merit_Aid,Special_Programs,Notable_Strengths
1,Princeton University,3.90-4.00,1450-1570,33-35,Yes,No,$75,4%,$57000,Yes,No,Bridge Year;Research Scholars,Leadership;Research
2,MIT,3.95-4.00,1510-1580,34-36,No,Yes,$75,7%,$53000,Yes,No,UROP;MITES,STEM;Research
3,Harvard University,3.90-4.00,1460-1580,33-36,Yes,Yes,$75,4%,$55000,Yes,No,SHARP;Research Programs,Leadership;Research
4,Stanford University,3.95-4.00,1440-1570,32-35,Yes,No,$90,4%,$54000,Yes,Limited,Stanford Institutes,Innovation;Research
5,Yale University,3.90-4.00,1460-1570,33-35,Yes,Yes,$80,5%,$56000,Yes,No,Directed Studies,Humanities;Arts
6,University of Pennsylvania,3.85-4.00,1450-1560,33-35,Yes,No,$75,7%,$54000,Yes,Limited,Wharton;Nursing,Business;Research
7,California Institute of Technology,3.90-4.00,1530-1580,35-36,Yes,No,$75,6%,$52000,Yes,No,SURF Program,STEM;Research
8,Duke University,3.85-4.00,1440-1570,33-35,Yes,No,$85,6%,$53000,Yes,Limited,Focus Program,Research;Medicine
9,Brown University,3.90-4.00,1440-1560,33-35,Yes,No,$75,6%,$52000,Yes,No,Open Curriculum,Liberal Arts;Research
10,Northwestern University,3.85-4.00,1430-1550,33-35,Yes,No,$75,7%,$51000,Yes,Limited,Co-op Programs,Journalism;Arts
11,Johns Hopkins University,3.90-4.00,1470-1560,33-35,Yes,No,$70,9%,$50000,Yes,Limited,Research Programs,Medicine;Research
12,Columbia University,3.85-4.00,1450-1560,33-35,Yes,No,$85,5%,$55000,Yes,No,Core Curriculum,Liberal Arts;Research
13,University of Chicago,3.85-4.00,1470-1570,33-35,Yes,No,$75,6%,$54000,Yes,Limited,Uncommon Core,Economics;Research
14,UC Berkeley,3.89-4.00,1330-1530,29-34,No,No,$70,15%,$45000,No,No,Research Programs,STEM;Research
15,UCLA,3.85-4.00,1300-1530,29-34,No,No,$70,11%,$43000,No,No,Honors Program,Arts;Research
16,Carnegie Mellon University,3.85-4.00,1460-1560,33-35,Yes,No,$75,15%,$49000,Yes,Limited,SCS Programs,Computer Science;Arts
17,Vanderbilt University,3.80-4.00,1470-1570,33-35,Yes,No,$85,7%,$52000,Yes,Limited,Opportunity Vanderbilt,Research;Medicine
18,Rice University,3.85-4.00,1460-1560,33-35,Yes,No,$75,9%,$47000,Yes,Limited,Residential Colleges,Engineering;Research
19,Washington University in St. Louis,3.85-4.00,1470-1570,33-35,Yes,No,$75,13%,$51000,Yes,Limited,WashU Pledge,Medicine;Research
20,Cornell University,3.80-4.00,1400-1540,32-34,Yes,No,$80,11%,$50000,Yes,Limited,College Specific,Engineering;Agriculture
21,University of Michigan,3.75-4.00,1340-1520,31-34,No,Yes,$75,20%,$43000,No,Yes,Ross School Programs,Business;Engineering
22,USC,3.75-4.00,1360-1530,31-34,Yes,No,$85,11%,$45000,No,Yes,Cinema School,Film;Business
23,Georgetown University,3.80-4.00,1380-1530,32-34,Yes,No,$75,14%,$48000,Yes,Limited,SFS Program,International Relations
24,University of Virginia,3.75-4.00,1340-1500,31-34,Yes,No,$70,21%,$42000,Yes,Yes,Jefferson Scholars,Liberal Arts
25,UC San Diego,3.80-4.00,1280-1480,28-34,No,No,$70,30%,$40000,No,No,College System,STEM;Research
26,UC Davis,3.75-4.00,1270-1470,28-34,No,No,$70,35%,$38000,No,No,Agricultural Programs,Agriculture;Research
27,University of Florida,3.75-4.00,1330-1470,30-34,No,Yes,$30,31%,$35000,No,Yes,Honors Program,Research;Sports
28,Wake Forest University,3.75-4.00,1320-1470,30-33,Yes,No,$85,25%,$44000,No,Yes,Test-Optional Pioneer,Liberal Arts
29,UNC Chapel Hill,3.75-4.00,1320-1490,29-33,Yes,No,$85,20%,$39000,No,Yes,Morehead-Cain,Research;Public Health
